Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP1-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.251,1.508,1.569,1.558,1.509,1.456,1.411,1.373,1.334
AIM/CGE,SSP1-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.251,1.517,1.667,1.738,1.770,1.787,1.789,1.786,1.774
AIM/CGE,SSP1-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.251,1.530,1.745,1.904,2.009,2.089,2.152,2.201,2.234
AIM/CGE,SSP1-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.251,1.542,1.842,2.133,2.341,2.485,2.593,2.680,2.746
AIM/CGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.252,1.569,1.900,2.224,2.506,2.768,3.012,3.232,3.422
AIM/CGE,SSP2-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.249,1.511,1.577,1.566,1.514,1.455,1.400,1.350,1.298
AIM/CGE,SSP2-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.249,1.516,1.662,1.731,1.755,1.766,1.762,1.750,1.727
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.250,1.517,1.724,1.871,1.964,2.037,2.096,2.143,2.173
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.249,1.517,1.786,2.032,2.213,2.360,2.485,2.583,2.652
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.250,1.525,1.824,2.128,2.403,2.663,2.908,3.131,3.335
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.252,1.553,1.907,2.286,2.651,3.016,3.385,3.757,4.125
AIM/CGE,SSP3-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.229,1.516,1.829,1.990,2.080,2.147,2.189,2.211,2.211
AIM/CGE,SSP3-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.230,1.522,1.841,2.063,2.237,2.362,2.466,2.554,2.617
AIM/CGE,SSP3-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.231,1.524,1.845,2.099,2.333,2.581,2.807,3.005,3.184
AIM/CGE,SSP3-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.226,1.524,1.864,2.203,2.551,2.912,3.284,3.672,4.071
AIM/CGE,SSP4-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.220,1.496,1.649,1.719,1.762,1.784,1.785,1.777,1.756
AIM/CGE,SSP4-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.221,1.494,1.694,1.834,1.948,2.043,2.118,2.176,2.213
AIM/CGE,SSP4-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.220,1.499,1.769,2.005,2.191,2.336,2.462,2.570,2.653
AIM/CGE,SSP4-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.220,1.509,1.834,2.146,2.441,2.720,2.982,3.228,3.455
AIM/CGE,SSP5-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.250,1.555,1.727,1.800,1.825,1.830,1.820,1.801,1.770
AIM/CGE,SSP5-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.250,1.554,1.785,1.952,2.064,2.138,2.191,2.227,2.246
AIM/CGE,SSP5-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.251,1.556,1.827,2.060,2.228,2.365,2.484,2.585,2.656
AIM/CGE,SSP5-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.252,1.557,1.843,2.114,2.352,2.574,2.785,2.985,3.169
AIM/CGE,SSP5-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.247,1.578,1.964,2.404,2.849,3.311,3.787,4.268,4.744
GCAM4,SSP1-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.229,1.449,1.561,1.606,1.602,1.576,1.532,1.466,1.370
GCAM4,SSP1-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.226,1.436,1.591,1.708,1.779,1.815,1.819,1.795,1.737
GCAM4,SSP1-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.226,1.442,1.637,1.810,1.943,2.056,2.133,2.163,2.155
GCAM4,SSP1-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.226,1.447,1.668,1.877,2.050,2.205,2.338,2.429,2.486
GCAM4,SSP1-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.228,1.472,1.733,2.000,2.246,2.487,2.717,2.919,3.086
GCAM4,SSP2-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.228,1.499,1.725,1.791,1.757,1.696,1.626,1.532,1.399
GCAM4,SSP2-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.226,1.479,1.784,1.929,1.956,1.942,1.915,1.862,1.768
GCAM4,SSP2-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.226,1.477,1.762,1.985,2.130,2.219,2.273,2.299,2.285
GCAM4,SSP2-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.226,1.477,1.760,1.996,2.171,2.298,2.383,2.453,2.511
GCAM4,SSP2-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.226,1.477,1.764,2.053,2.319,2.579,2.837,3.070,3.258
GCAM4,SSP2-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.228,1.498,1.814,2.155,2.491,2.843,3.213,3.577,3.924
GCAM4,SSP3-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.988,1.228,1.510,1.839,2.178,2.522,2.885,3.278,3.681,4.084
GCAM4,SSP4-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.233,1.507,1.687,1.794,1.865,1.910,1.928,1.893,1.799
GCAM4,SSP4-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.232,1.484,1.713,1.895,2.020,2.110,2.175,2.207,2.186
GCAM4,SSP4-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.231,1.481,1.722,1.941,2.117,2.250,2.365,2.451,2.516
GCAM4,SSP4-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.231,1.491,1.777,2.054,2.312,2.560,2.802,3.004,3.157
GCAM4,SSP4-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.237,1.533,1.874,2.216,2.546,2.875,3.201,3.494,3.758
GCAM4,SSP5-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.230,1.515,1.713,1.737,1.691,1.641,1.588,1.512,1.390
GCAM4,SSP5-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.225,1.481,1.805,1.919,1.916,1.898,1.877,1.836,1.743
GCAM4,SSP5-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.225,1.480,1.790,1.991,2.080,2.131,2.170,2.187,2.158
GCAM4,SSP5-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.225,1.479,1.784,2.035,2.197,2.306,2.388,2.451,2.510
GCAM4,SSP5-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.225,1.479,1.785,2.099,2.383,2.650,2.891,3.075,3.197
GCAM4,SSP5-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,,0.989,1.228,1.503,1.850,2.267,2.701,3.158,3.625,4.080,4.510
IMAGE,SSP1-19,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.237,1.466,1.558,1.562,1.528,1.493,1.456,1.410,1.345
IMAGE,SSP1-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.218,1.473,1.655,1.759,1.812,1.835,1.835,1.804,1.761
IMAGE,SSP1-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.221,1.493,1.714,1.899,2.040,2.151,2.220,2.231,2.193
IMAGE,SSP1-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.222,1.495,1.726,1.936,2.137,2.325,2.477,2.585,2.653
IMAGE,SSP1-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.223,1.506,1.771,2.022,2.246,2.460,2.669,2.856,3.018
IMAGE,SSP2-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.251,1.535,1.692,1.773,1.801,1.796,1.786,1.774,1.758
IMAGE,SSP2-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.247,1.538,1.756,1.918,2.024,2.079,2.128,2.152,2.165
IMAGE,SSP2-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.244,1.541,1.811,2.040,2.241,2.409,2.538,2.630,2.695
IMAGE,SSP2-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.245,1.548,1.831,2.101,2.372,2.640,2.897,3.125,3.318
IMAGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.248,1.565,1.873,2.169,2.468,2.764,3.076,3.419,3.790
IMAGE,SSP3-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.252,1.573,1.816,1.964,2.065,2.110,2.143,2.178,2.219
IMAGE,SSP3-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.248,1.570,1.860,2.085,2.271,2.407,2.501,2.578,2.634
IMAGE,SSP3-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.248,1.574,1.888,2.184,2.474,2.731,2.940,3.108,3.249
IMAGE,SSP3-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.988,1.250,1.587,1.927,2.251,2.583,2.909,3.247,3.603,3.974
IMAGE,SSP4-26,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.990,1.265,1.531,1.680,1.760,1.770,1.767,1.763,1.761,1.756
IMAGE,SSP4-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.254,1.537,1.754,1.924,2.036,2.087,2.120,2.152,2.163
IMAGE,SSP4-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.254,1.550,1.839,2.117,2.299,2.420,2.524,2.610,2.651
IMAGE,SSP4-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.255,1.553,1.843,2.141,2.417,2.663,2.904,3.139,3.307
IMAGE,SSP4-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.913,0.989,1.257,1.569,1.878,2.172,2.445,2.689,2.923,3.167,3.388
